id,year,origin,automatic-transmission,cylinders,displacement,drive,cityMPG,highwayMPG,class-size,guzzler,smog-score
19750,2004,3,0,6,3.0,1,22.7,37.9,2,0,1
19750,2004,3,0,6,3.0,1,22.7,37.9,2,0,5
19750,2004,3,0,6,3.0,1,22.7,37.9,2,0,6
19751,2004,3,0,4,2.0,1,30.1,44.0,2,0,6
19752,2004,3,1,4,2.4,1,24.0,38.5494,2,0,1
19753,2004,3,0,4,2.4,1,24.9,39.1,2,0,1
19754,2004,3,1,6,2.7,1,21.2958,35.2499,2,0,1
19756,2004,3,1,6,3.5,1,18.8471,33.0988,2,0,1
19757,2004,3,1,6,3.5,1,21.6393,33.5396,2,0,1
19759,2004,2,1,6,3.0,2,20.1995,33.4997,2,0,1
19765,2004,3,1,4,2.4,1,23.9474,38.4499,2,0,1
19767,2004,3,1,6,2.7,1,22.449,34.9997,2,0,1
19769,2004,3,1,6,3.3,1,22.6,37.5,2,0,5
19769,2004,3,1,6,3.3,1,22.6,37.5,2,0,6
19773,2004,1,1,6,3.0,2,22.4,34.9,2,0,1
19774,2004,1,1,8,3.9,2,19.2,29.4872,2,0,1
19777,2004,1,1,6,3.0,1,22.2,34.6,2,0,1
19777,2004,1,1,6,3.0,1,22.2,34.6,2,0,2
19777,2004,1,1,6,3.0,1,22.2,34.6,2,0,5
19778,2004,3,0,4,2.3,1,27.024,40.8859,2,0,1
19778,2004,3,0,4,2.3,1,27.024,40.8859,2,0,2
19779,2004,3,1,4,2.3,1,24.8486,36.5359,2,0,1
19779,2004,3,1,4,2.3,1,24.8486,36.5359,2,0,2
19780,2004,3,0,6,3.0,1,21.4622,33.866,2,0,1
19780,2004,3,0,6,3.0,1,21.4622,33.866,2,0,2
19781,2004,3,1,6,3.0,1,20.8905,33.7929,2,0,1
19781,2004,3,1,6,3.0,1,20.8905,33.7929,2,0,2
19782,2004,2,1,6,3.2,2,21.4,34.1,2,0,2
19783,2004,2,1,6,3.2,4,20.4,31.2,2,0,2
19789,2004,3,1,4,2.4,1,25.6,38.3279,2,0,5
19789,2004,3,1,4,2.4,1,25.6,38.3279,2,0,9
19790,2004,3,1,6,3.8,1,20.6222,34.1639,2,0,5
19791,2004,3,1,4,2.5,1,25.2804,37.2809,2,0,5
19791,2004,3,1,4,2.5,1,25.2804,37.2809,2,0,9
19793,2004,3,1,6,3.5,1,21.2,33.3,2,0,1
19794,2004,3,0,6,3.5,1,23.2,33.2,2,0,1
19795,2004,3,1,6,3.5,1,22.4499,35.1,2,0,5
19796,2004,3,0,6,3.5,1,22.7,37.8,2,0,5
19797,2004,3,1,6,3.5,1,22.0,36.4,2,0,5
19798,2004,1,1,6,3.8,1,22.2,38.9,2,0,1
19798,2004,1,1,6,3.8,1,22.2,38.9,2,0,2
19798,2004,1,1,6,3.8,1,22.2,38.9,2,0,5
19799,2004,1,1,6,3.8,1,20.2,34.4,2,0,1
19799,2004,1,1,6,3.8,1,20.2,34.4,2,0,2
19799,2004,1,1,6,3.8,1,20.2,34.4,2,0,5
19800,2004,1,1,6,3.8,1,20.4725,35.7807,2,0,1
19800,2004,1,1,6,3.8,1,20.4725,35.7807,2,0,2
19800,2004,1,1,6,3.8,1,20.4725,35.7807,2,0,5
19803,2004,2,0,4,2.3,1,23.1,37.3,2,0,2
19804,2004,2,1,4,2.3,1,21.0226,36.3744,2,0,2
19805,2004,2,1,4,2.3,1,21.2499,35.5494,2,0,2
19806,2004,1,1,4,2.2,1,27.0,43.7,2,0,2
19807,2004,1,1,6,3.0,1,22.5222,35.6298,2,0,2
19808,2004,3,1,6,2.5,1,21.9,35.1997,2,0,2
19809,2004,3,1,4,2.4,1,25.8154,40.7781,2,0,5
19809,2004,3,1,4,2.4,1,25.8154,40.7781,2,0,6
19809,2004,3,1,4,2.4,1,25.8154,40.7781,2,0,9
19810,2004,3,0,4,2.4,1,26.6,42.5,2,0,5
19810,2004,3,0,4,2.4,1,26.6,42.5,2,0,6
19811,2004,3,1,6,3.0,1,22.9,37.1,2,0,1
19811,2004,3,1,6,3.0,1,22.9,37.1,2,0,2
19812,2004,3,1,6,3.3,1,22.6207,37.4039,2,0,5
19812,2004,3,1,6,3.3,1,22.6207,37.4039,2,0,6
19813,2004,3,1,4,1.5,1,66.6,64.8,2,0,7
19813,2004,3,1,4,1.5,1,66.6,64.8,2,0,9
19814,2004,2,0,4,1.8,1,24.4,39.7,2,0,2
19815,2004,2,1,4,1.8,1,23.8,38.9,2,0,2
19817,2004,2,1,6,2.8,1,21.5,34.5,2,0,1
19818,2004,2,1,5,2.5,4,22.3022,35.0035,2,0,5
19818,2004,2,1,5,2.5,4,22.3022,35.0035,2,0,6
19825,2004,2,1,8,4.4,2,20.0,33.5,0,0,1
19827,2004,1,1,6,3.8,1,22.0,37.8,0,0,1
19827,2004,1,1,6,3.8,1,22.0,37.8,0,0,5
19828,2004,1,1,6,3.8,1,22.0,37.8,0,0,1
19828,2004,1,1,6,3.8,1,22.0,37.8,0,0,5
19831,2004,1,1,8,4.6,1,19.6,33.9,0,0,2
19832,2004,1,1,8,4.6,1,19.6,33.9,0,0,2
19835,2004,1,1,6,3.4,1,23.5,40.8,0,0,1
19835,2004,1,1,6,3.4,1,23.5,40.8,0,0,5
19836,2004,1,1,6,3.8,1,22.2,38.9,0,0,1
19836,2004,1,1,6,3.8,1,22.2,38.9,0,0,2
19836,2004,1,1,6,3.8,1,22.2,38.9,0,0,5
19838,2004,1,1,6,3.5,1,24.4444,38.4615,0,0,2
19839,2004,1,1,6,3.5,1,20.0,34.4441,0,0,1
19842,2004,1,1,6,2.7,1,23.7,37.3,0,0,1
19843,2004,1,1,6,3.5,1,20.9,34.9,0,0,1
19845,2004,1,1,8,4.6,2,18.8006,31.8896,0,0,1
19845,2004,1,1,8,4.6,2,18.8006,31.8896,0,0,3
19845,2004,1,1,8,4.6,2,18.8006,31.8896,0,0,5
19846,2004,1,1,6,3.0,1,22.2,34.6,0,0,1
